;id;name;address;rating;price;phone;distance;latitude;longitude;source;city;station;station_latitude;station_longitude;station_number_of_bikes
43;yKc6rO92zePSz6dbxqzhqA;Farm Fresh Fast;860 S Church St;9.0;2.0;(864) 518-1978;290.6361571910149;34.83845720293176;-82.40091902883553;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
167;j9n7G9R79KVe5k5Mti_ICA;First Wok;1152 Pendleton St;7.0;1.0;(864) 235-4166;1134.1747878485762;34.846016;-82.423155;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
20;mt9wSkbffTsoQ0IUZXpG4w;Flying Biscuit Cafe-Downtown West-End;656 S Main St;6.0;2.0;(864) 900-3003;89.48592545123157;34.84482;-82.404;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
150;KuiW40yESxOBbi7-4N7X_w;Gather GVL;126 Augusta St;9.0;2.0;(864) 501-5008;256.2114590870974;34.842857;-82.406163;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
96;2Tp7NkMCP9sqEpzXmQ1rjg;Genevieve's;Peace Ctr;7.0;2.0;(864) 679-9257;181.31813624447526;34.8468704223633;-82.4009246826172;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
159;OIKMIRg0mUHu46fEhH0eIA;Golden Brown & Delicious;147 Welborn St;8.0;2.0;(864) 230-9455;181.73499485713575;34.853152;-82.413912;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
113;Gyoh3ITkbczfBk-SP-hfSw;Greektown Grille;400 E Mcbee Ave;9.0;2.0;(864) 233-5505;901.6769864694193;34.8484629;-82.3955645;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
81;YS1LOC9RNGIUxMPJY2vIZg;Grill Marks;209 S Main St;7.0;2.0;(864) 233-5825;47.01776921876646;34.848127;-82.399887171793;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
176;1nKs8vEpic-Syy1tnqPYAw;Group Therapy Pub & Playground;320 Falls St;8.0;2.0;(864) 284-4333;113.27966295535711;34.84632653698862;-82.40007157297822;Yelp;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
59;ZBR0MsA7r4N1ieGlES0PyA;Halls Chophouse Greenville;550 S Main St;9.0;4.0;(864) 335-4200;655.894761642056;34.8456575;-82.40215945646705;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
170;IqQDj1OpFDzBHsz5IGQBvQ;Hardee's;201 Rutherford St;4.0;1.0;(864) 370-2432;1233.5324465918036;34.86102;-82.40506;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
149;2kMJ1YV1LJtKKo-lxNrb9w;HenDough;126 Augusta St;10.0;2.0;(864) 373-9108;255.01225974457256;34.8428506;-82.4061763;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
79;b22CIWnZgwYoffy-r-c9rA;Jacs;61 Beattie Pl;6.0;1.0;(864) 282-1208;268.54654468642394;34.8530591279268;-82.3952333629131;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
14;n9-YpYcOQDR4IqbTwJm1mQ;Jamaican Mi Irie;28 S Main St;8.0;2.0;(864) 271-8620;177.45927432465726;34.850423;-82.3991331;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
180;kaYKd8BE4b1j7RadJs3I6w;Jianna;600 S Main St;9.0;3.0;(864) 720-2200;139.13328396208576;34.8452702;-82.4023466950891;Yelp;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
133;xV1xiHXMH_cZQiI3K5cSow;Kendall’s Grill;1810 W Blue Ridge Dr;8.0;1.0;(864) 246-6009;886.7456353209451;34.8700362916341;-82.4312436953187;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
67;knbisCnz0D4b49uGX3Ub7g;Kilpatrick's Public House;221 N Main St;7.0;2.0;(864) 603-1583;87.13210763006563;34.8532104492188;-82.3982849121094;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
94;ceeyza3cbOkWnlvuWEHgXg;Larkin's;32 E Broad St;8.0;3.0;(864) 467-9777;172.82296706711134;34.847002884114126;-82.39946571399138;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
221;KMYLeefQTgMso-RRQR328A;Limoncello;401 River St;7.0;2.0;(864) 263-7000;196.40602406691633;34.84949;-82.40283;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
141;u00aRnNkmfldbE-suBFkLg;Mac's Speed Shop;930 S Main St;8.0;2.0;(864) 239-0286;95.07445379287455;34.84358;-82.40844;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
72;p_s7gDJ1rdV2_3HzTJ_Yow;Maple Street Biscuit Company - DT Greenville;18 East North St;9.0;2.0;(864) 520-8724;224.0831774957488;34.852023;-82.397513;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
168;A3MZp5CzrdmEeTO0gDSAfQ;McDonald's;35 Rutherford St;3.0;1.0;(864) 370-0370;1158.0030995636673;34.8598600717532;-82.404994839701;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
57;s_GHLRZWEEZ1rReQF9TpIg;Mellow Mushroom - Greenville;1 Augusta St;7.0;2.0;(864) 233-9020;650.4738336809442;34.84398752460322;-82.40448814115751;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
61;L4GBV2rBF-NkRRXxdOHtpQ;Menkoi Noodle House;241 N Main St;9.0;1.0;(864) 373-9233;39.069524730029194;34.85365;-82.398078;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
160;4lEVWNQeXJ3itAxgB_MLIQ;Methodical Coffee;147 Welborn St B3;8.0;2.0;(864) 214-1295;181.98946827472219;34.8531669599909;-82.413913;Yelp;Greenville, SC;Unity Park;34.85409;-82.41556;3
136;VfeeN9JF4twU_8Y9PMduMA;Mike & Jeff's BBQ Catering;2401 Old Buncombe Rd;9.0;1.0;(864) 271-5225;982.8687431920408;34.87664;-82.41568;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
114;Ptme9uUdE2PoaoTXqybj7w;Northampton Wine Cafe;211-A E Broad St;8.0;3.0;(864) 271-3919;967.3697085599656;34.8463556;-82.3963641;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
8;az4Z7ZKwR0TyvOqq5SGIQg;Nose Dive;116 S Main St;7.0;2.0;(864) 373-7300;150.19604116785405;34.84915;-82.40001;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
197;k4BYVuLUmC53FFDUY85diA;O-CHA Tea Bar;300 River St;8.0;1.0;(864) 283-6702;64.66832164154376;34.8474082946777;-82.4032135009766;Yelp;Greenville, SC;River Walk;34.84722;-82.40256;2
25;babpQQHQSGjVxS1Li7Q2lA;Otto Izakaya - Downtown;802 S Main St;7.0;2.0;(864) 568-5880;138.45653917279157;34.84428;-82.406;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
173;bKAm_63CUrujddPgLvltDw;Papis Tacos;300 River St;8.0;1.0;(864) 373-7274;104.80119727431237;34.8465516;-82.4023554;Yelp;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
179;9_KBhwIiHm9RXqpUxoi6dA;Passerelle Bistro;601 S Main St;8.0;2.0;(864) 509-0142;130.74326973667036;34.8450447;-82.4016728;Yelp;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
187;x38iixpnWM-cdkd_ue0VNg;Pomegranate on Main;618 S Main St;9.0;2.0;(864) 241-3012;189.04966496706007;34.844949;-82.4027289;Yelp;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
139;B4kCdssnlcQqvd-npxGCqQ;Purple International Bistro & Sushi;933 S Main St;8.0;2.0;(864) 232-3255;48.28314884529765;34.8431306;-82.4085217;Yelp;Greenville, SC;Fluor Field;34.8429;-82.40897;4
33;hr_ddoM92uGDXbM4lAJdbA;Rainer's;610 S Main St;8.0;2.0;(864) 232-1753;211.44604014703285;34.8451;-82.40258;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
24;RFgSPiy7lTROpg-5Vbc4aw;Rick Erwin's West End Grill;648 S Main St;8.0;3.0;(864) 232-8999;135.27775292666095;34.8446481740538;-82.4035385903465;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
112;9btRM_i-Uk6g9nOP2IrqOg;Rockys Hot Chicken Shack;420 Laurens Rd;9.0;2.0;(864) 999-3433;849.6984887273624;34.85052;-82.37744;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
69;swKXNg2uH1J5qU7B7KVykA;Roost;220 N Main St;7.0;2.0;(864) 298-2424;151.29997714590394;34.85347;-82.39744;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
199;jkIU2r6aEsJsJvomOManzA;Ruth's Chris Steak House - Downtown Greenville;250 Riverplace;7.0;3.0;(864) 242-2000;73.77144726467819;34.847683;-82.403139;Yelp;Greenville, SC;River Walk;34.84722;-82.40256;2
76;5bDhduKOF_psE5By6FuO-A;SIP Whiskey & Wine Bar;103 N Main St;6.0;2.0;(864) 552-1916;250.1783009565364;34.8518421;-82.3987862;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
78;QyK5nKCoOw5A_BZE574m2Q;Sassafras Southern Bistro;103 N Main St;9.0;2.0;(864) 235-5670;257.0041255819952;34.851906;-82.399188;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
73;SZIvnTKAk8_NKGJdksujIw;Sharkeys Pub;112 N Main St;5.0;1.0;(864) 241-7988;232.09721759313632;34.8518982;-82.3981781;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
100;_bsb4joWtMof6H2qC8JdnQ;Sidewall Pizza;99 Cleveland St;9.0;2.0;(864) 558-0235;1093.8278410013452;34.8399886635906;-82.396762772198;Yelp;Greenville, SC;Caine Halter YMCA;34.83585;-82.38589;0
58;UXQDsEXnaq6Tz9Tv45H9Qw;Smoke On the Water;1 Augusta St;8.0;2.0;(864) 232-9091;650.5821321680053;34.84420928958757;-82.4042720667513;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
80;3AdFTlf6NMMGXPvUrG6ceA;Soby's;207 S Main St;8.0;3.0;(864) 232-7007;33.68486579839519;34.848288967903;-82.399931608225;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
211;ddECbRYw0xqEt4E2jL9NqQ;Spoonbread Restaurant;120 S Main St;8.0;2.0;(864) 421-9700;142.72787658299362;34.849446;-82.400803;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
230;_W4wCKKtEy69joiKqT-Ftg;Sticky Fingers Rib House;1 S Main St;7.0;2.0;(864) 331-7427;249.9954650848548;34.8504634;-82.3988429;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
132;PzDFOjXZNfTRPaO6kNSHbw;Sun Belly Cafe;1409 W Blue Ridge Dr;10.0;2.0;(404) 309-7791;853.6174587990096;34.8741;-82.42892;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
60;VUCILTVmL5WG2Y8svRC--Q;Sushi Go;247 N Main St;8.0;2.0;(864) 631-1145;17.362834982448323;34.85385;-82.397922;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
225;dvgaR-1sAfuHSi4_ZKXmwQ;Sushi Murasaki;2 S Main St;7.0;2.0;(864) 787-6241;217.1900248031476;34.8506663;-82.3992034;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
121;MMW3v2N88icfGFjpFh2KKA;Swamp Rabbit Cafe and Grocery;205 Cedar Lane Rd;9.0;2.0;(864) 255-3385;87.66646947696648;34.8700222757793;-82.4218153377796;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
118;XbPhIgJ33duaM8_ezY4HUQ;Swordfish Cocktail Club;220 E Coffee St;9.0;2.0;(864) 434-9519;1036.2026770673262;34.850797;-82.39635467;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
224;OtUfVqSjACfv4YsGZ6aI-g;Takosushi;34 S Main St;8.0;2.0;(864) 271-5055;214.52487633474462;34.8499675;-82.3993427;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
137;F36L0ZHNP9VD44z2DdlERA;Taqueria El Paso Victoria;2500 Old Buncombe Rd;10.0;1.0;(864) 232-7210;1179.7930264157778;34.87815;-82.41461;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
95;pLLZ0ilIH_gy80GtA5bXMQ;The Cazbah;16 W McBee Ave;8.0;2.0;(864) 241-9909;179.21673685604796;34.85004;-82.40002;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
87;GaogkqqI0sovKboINcrhXQ;The Jones Oyster;22 E Court St;10.0;2.0;(864) 549-0301;87.18944755726994;34.848133;-82.399347;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
37;OoFux9-tQCYFQccArKFNfA;The Lazy Goat;170 Riverplace;8.0;2.0;(864) 679-5299;268.76423769275044;34.84658199226628;-82.40257400286492;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
71;UOCGnmU9-TGNSkwSZxV8FA;The Lost Cajun;116 N Main St;8.0;2.0;(864) 203-2827;222.5445149945029;34.85201;-82.39816;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
11;sQsiNhUVhsH23jkAVo7DTA;The Orient on Main;4 S Main St;7.0;2.0;(864) 787-6241;168.74101754397063;34.8505831538167;-82.3992580901783;Yelp;Greenville, SC;Transit Center;34.85028;-82.40107;7
215;nWHNtM-6RnoVE0QZmOxjJw;The Trappe Door;23 W Washington St;9.0;2.0;(864) 451-7490;163.7861830198949;34.8508649071846;-82.3998239853677;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
27;NPDABhGwJoAOkLSRsJdwiw;The Velo Fellow;1 Augusta St;7.0;2.0;(864) 242-9296;161.5337389101202;34.843784;-82.404187;Yelp;Greenville, SC;Link West End;34.84511;-82.40491;4
88;E81F9VHn_vhAva6onbSK7g;Trattoria Giorgio;121 S Main St;8.0;3.0;(864) 271-9166;93.65670950456618;34.8488388061523;-82.3994216918945;Yelp;Greenville, SC;City Hall;34.84841;-82.40027;3
228;t2Y13JfkIGSyVbA3-zqTEA;Tropical Grille;21 S Main St;8.0;1.0;(864) 263-3569;232.47832932852532;34.8498509086402;-82.3991833473649;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
75;HlMRxvnD7jC6uMUYZCsDCg;Tsunami Japanese Sushi Bar and Grill;106 E North St;7.0;2.0;(864) 467-1055;235.75688109856944;34.85197;-82.39704;Yelp;Greenville, SC;College & Main;34.85399;-82.39797;6
227;kT8guxNMbxEWNkala58XgA;Tupelo Honey Southern Kitchen & Bar;1 N Main St;8.0;2.0;(864) 451-6200;223.81390470759413;34.85166123456881;-82.39952692007685;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
200;-pCg7EAT51te8U5_H_d1Zw;UP On The Roof;250 Riverplace;8.0;2.0;(864) 242-4000;76.1498700013077;34.8465122;-82.4033157;Yelp;Greenville, SC;River Walk;34.84722;-82.40256;2
213;jT6W_waEWcaoKFP2Pp6kPQ;W XYZ Bar;5 North Laurens St;8.0;2.0;(864) 297-6100;156.44891512694628;34.8512544;-82.3999951;Yelp;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
124;JCo5Glxhlnirl-UGpLpF8Q;White Duck Taco Shop;1320 Hampton Ave Ext;9.0;1.0;(864) 609-4150;638.5813785814121;34.865887;-82.415905;Yelp;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
104;Dklu2K-j2YdquwmJ3pJe5A;Willy Taco - Feed & Seed;217 Laurens Rd;8.0;2.0;(864) 412-8700;812.4749554308262;34.85159;-82.37863;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
42;AkZkBkTCMZ3zaKOPLl16Jg;Zaxby's Chicken Fingers & Buffalo Wings;824 S Church St;5.0;1.0;(864) 232-2929;206.68926174405573;34.83928178;-82.400611;Yelp;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
102;XqUsstI6XMr_JZgOIu54iw;Zorba Lounge;1414 E Washington St;9.0;2.0;(864) 233-3125;703.5299017317641;34.85047;-82.37924;Yelp;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
