;id;name;address;rating;price;phone;distance;latitude;longitude;source;city;station;station_latitude;station_longitude;station_number_of_bikes
78;4b637d8df964a520ea7d2ae3;Rick Erwin's West End Grille;648 S Main St (River Street), Greenville, SC 29601;8.9;3.0;(864) 232-8999;272;34.844777;-82.403651;Foursquare;Greenville, SC;Japanese Dogwood;34.84618;-82.4013;0
82;5762d745498e1dbf2f85ca2c;Ruth's Chris Steak House;250 Riverplace, Greenville, SC 29601;8.1;4.0;(864) 242-2000;71;34.84764;-82.403248;Foursquare;Greenville, SC;River Walk;34.84722;-82.40256;2
9;4bc6603cd35d9c74f4b2e23a;Sassafras Southern Bistro;103 N Main St, Greenville, SC 29601;8.8;3.0;(864) 235-5670;271;34.851841;-82.39887;Foursquare;Greenville, SC;Transit Center;34.85028;-82.40107;7
20;570c1d3d498e67d615f08f41;Sidewall Pizza;99 Cleveland St, Greenville, SC 29601;8.9;1.0;(864) 558-0235;201;34.840115;-82.396605;Foursquare;Greenville, SC;NEXT Innovation Center;34.84043;-82.39883;5
64;4b5b27b7f964a5201ae728e3;Smoke On the Water;1 Augusta St (at S Main St), Greenville, SC 29601;8.6;2.0;(864) 232-9091;456;34.844093;-82.404246;Foursquare;Greenville, SC;Fluor Field;34.8429;-82.40897;4
40;52dbe8a7498e53fc4d7e1a7d;Soby's;207 S Main St, Greenville, SC 29601;8.3;3.0;(864) 232-7007;38;34.848153;-82.399716;Foursquare;Greenville, SC;City Hall;34.84841;-82.40027;3
4;5571cb8f498e6be26015c286;Southern Pressed Juicery;2 W Washington St, Greenville, SC 29601;8.2;2.0;(864) 729-8626;190;34.851124;-82.399345;Foursquare;Greenville, SC;Transit Center;34.85028;-82.40107;7
52;58a7a44b9ab6634221689f70;Stone Pizza Company;500 E Park Ave (Stone Avenue), Greenville, SC 29601;6.9;1.0;(864) 609-4490;886;34.855038;-82.38557;Foursquare;Greenville, SC;Greenville Zoo;34.84717;-82.38581;2
97;514af05ce4b07cc40e0b24d7;Sully's Steamers;6 E Washington St (Main St.), Greenville, SC 29601;8.4;1.0;(864) 509-6061;249;34.850406;-82.398651;Foursquare;Greenville, SC;Reedy Rides 50SR;34.85056;-82.40158;0
30;4baa9de6f964a520007a3ae3;Sushi Go;247 N Main St, Greenville, SC 29601;8.0;2.0;(864) 631-1145;25;34.853838;-82.397946;Foursquare;Greenville, SC;College & Main;34.85399;-82.39797;6
37;4b625545f964a520d7422ae3;Sushi Murasaki;2 S Main St, Greenville, SC 29601;7.8;2.0;(864) 271-2452;372;34.850694;-82.399214;Foursquare;Greenville, SC;College & Main;34.85399;-82.39797;6
53;4e653467d164ddd5e6f277b6;Swamp Rabbit Cafe and Grocery;205 Cedar Lane Rd, Greenville, SC 29611;9.4;2.0;(864) 255-3385;77;34.869832;-82.421934;Foursquare;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
91;4b8c59d2f964a52034cc32e3;The Cazbah;16 W McBee Ave, Greenville, SC 29601;8.0;3.0;(864) 241-9909;380;34.850065;-82.400117;Foursquare;Greenville, SC;River Walk;34.84722;-82.40256;2
63;4dc854cbd22dad7970ca7183;The Velo Fellow;1 Augusta St, Greenville, SC 29601;8.2;2.0;(864) 242-9296;440;34.843852;-82.404318;Foursquare;Greenville, SC;Fluor Field;34.8429;-82.40897;4
8;4b5b9075f964a520780729e3;Trio - A Brick Oven Cafe;22 N Main St (at Coffee St.), Greenville, SC 29601;8.2;2.0;(864) 467-1000;265;34.851358;-82.398431;Foursquare;Greenville, SC;Transit Center;34.85028;-82.40107;7
32;4b5ba8e9f964a520460e29e3;Tsunami;106 E North St, Greenville, SC 29601;8.2;2.0;(864) 467-1055;238;34.852007;-82.397132;Foursquare;Greenville, SC;College & Main;34.85399;-82.39797;6
35;51bc9521498e104ada4db547;Tupelo Honey Cafe;1 N Main St, Greenville, SC 29601;8.3;2.0;(864) 451-6200;341;34.85109;-82.399225;Foursquare;Greenville, SC;College & Main;34.85399;-82.39797;6
54;594bf1ae249623140392da3b;White Duck Taco Shop;1320 Hampton Avenue Ext, Greenville, SC 29601;8.1;1.0;(864) 609-4150;632;34.865909;-82.415767;Foursquare;Greenville, SC;Swamp Rabbit Cafe;34.86926;-82.42157;5
